t,Epo_Obs,EpoR_Obs,Epo_EpoR_Obs,dEpo_e_Obs
0,981.18867028601,533.124648488262,0.972509941458496,121.351393326355
20,NaN,NaN,158.252256333547,NaN
25,489.741358379616,213.816868339664,NaN,NaN
30,NaN,NaN,NaN,-73.1123905055495
40,NaN,NaN,91.4644706047925,NaN
45,309.529247257877,NaN,NaN,NaN
50,NaN,113.30731054383,NaN,NaN
65,NaN,NaN,65.2851367736987,161.978494320183
70,340.428953288064,NaN,NaN,NaN
75,NaN,95.5847296117928,NaN,NaN
85,NaN,NaN,54.001373573489,NaN
95,NaN,NaN,NaN,367.684116021765
100,255.264457201807,141.42110479644,35.9097919424091,NaN
150,159.287306273891,332.448399563349,24.7451737734128,546.346400747623
200,14.8804673159091,265.962164634755,8.96253036332079,604.296286234627
250,75.9053591061541,388.547971165936,0.710493925127363,694.463184944357
300,39.1795799523728,401.055450091777,3.28938528567007,NaN
350,20.6077577503414,463.094465867762,NaN,913.84496162791
400,-47.2767543681447,NaN,1.44817908176368,729.249934529966
450,NaN,594.13777329719,NaN,NaN
500,NaN,NaN,NaN,958.172416958199
600,NaN,NaN,NaN,918.114061430272
