t,X_protein_Obs,Y_protein_Obs,Z_protein_Obs,GFP_Obs,Y_mRNA_Obs,GFP_mRNA_Obs
0,-342.665067171223,897.141668526066,315.470273796887,-10.9270591676628,1178.68722151851,1.27864530858876e-05
6,NaN,NaN,NaN,NaN,NaN,1.85278636191157e-07
10,NaN,NaN,NaN,NaN,NaN,-2.42415189980625e-07
20,NaN,NaN,NaN,NaN,8.19693797689811,1.53717584612117e-07
25,5027.23508083175,21103.9302070705,NaN,NaN,NaN,-1.13016554260933e-08
30,NaN,NaN,7693.23144918839,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,-2.24577523062147e-07
40,NaN,NaN,NaN,NaN,-11.0014970330883,NaN
45,NaN,NaN,NaN,NaN,NaN,-2.3932421529646e-07
50,NaN,6737.8020384244,NaN,NaN,NaN,NaN
55,1366.57183705963,NaN,2830.95194730435,NaN,NaN,8.49160961178373e-08
60,NaN,NaN,NaN,NaN,-9.76218931528774,NaN
65,NaN,NaN,NaN,14.7076000709171,NaN,2.07353569903569e-07
80,NaN,1700.90848595599,NaN,NaN,2.94931136157729,NaN
85,518.039728583573,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,441.701676811578,NaN,NaN,NaN
100,1148.89475106306,1323.65956843158,345.555171045897,NaN,-8.38174937257345,NaN
150,1271.28568328178,925.664117951215,1814.26956059292,38.1084546582272,13.0771690328294,NaN
200,649.154970263778,390.431117729506,399.383292102284,80.6877181065009,14.8478175851313,NaN
250,1129.19193987172,280.331550634493,1206.33435269888,NaN,40.260779215783,NaN
300,261.515533744397,1408.18224364436,NaN,128.315741896231,48.3895873540267,NaN
350,NaN,664.445829960042,1423.96491273489,NaN,NaN,NaN
400,638.255804717076,NaN,745.503385423671,114.150117595453,NaN,NaN
500,NaN,NaN,NaN,92.5787253782833,NaN,NaN
600,NaN,NaN,NaN,93.8029960945758,NaN,NaN
750,NaN,NaN,NaN,127.2626268155,NaN,NaN
900,NaN,NaN,NaN,99.4345386099159,NaN,NaN
1000,NaN,NaN,NaN,89.3949273157856,NaN,NaN
1500,NaN,NaN,NaN,110.349408663815,NaN,NaN
