t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.856513313436569,0.807983844258514,0.00115065802285101,0,0
5,NaN,NaN,NaN,0.12283743231565,NaN
6,NaN,0.258234971160942,NaN,NaN,NaN
7.5,0.113320688128078,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,0.895255143187016
8.5,NaN,NaN,0.494288563958938,NaN,NaN
10,NaN,0.610414498573175,NaN,0.610352031156061,NaN
15,0.283563274136504,NaN,0.374894090357747,0.63229757538893,0.939208791680601
20,NaN,0.517349466310651,NaN,0.599275254537891,NaN
25,0.389660740687902,0.619716389974359,0.401010268265169,NaN,0.749637779285948
30,0.422629046682399,NaN,NaN,0.531744678576557,NaN
35,NaN,0.803682923505038,0.297019075254691,0.350027664161707,0.601372107365201
40,0.666710527632519,0.708745437592192,NaN,NaN,NaN
45,NaN,NaN,0.176935047486181,0.236568900634255,0.385190173969889
50,0.890045716912748,0.870416003168068,NaN,NaN,NaN
55,NaN,NaN,NaN,0.100289379379302,0.143167309779829
60,NaN,NaN,0.0336832696227589,NaN,NaN
65,1.00087026609679,0.868873018803768,NaN,NaN,0.0452345071561729
70,NaN,NaN,0.0103857542255304,0.0175688598868863,NaN
75,1.01513417632502,1.08391534718851,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.00787025276217027
85,NaN,NaN,0.0035238512876391,0.00383595108099159,NaN
95,1.02179531618396,0.785116280951653,NaN,NaN,0.00203971968629509
100,0.911189826407174,1.11096036444283,0.00156574545887987,NaN,0.00130283877521396
150,1.19452015651971,NaN,0.00145209166907356,NaN,0.000682442770022019
