t,Rec_Obs,S2_Obs,ppS2_ppS3_S4_Obs,ppS2_S4_S4_Obs,geneH_Obs,Compound_1_Obs
0,0.739698363955751,165.173060941669,0,0.0186384091803177,0.680930142452711,1.19720524604714
40,NaN,NaN,NaN,NaN,NaN,2.61636849863796
45,NaN,NaN,NaN,NaN,3.85901465270411,NaN
55,NaN,NaN,NaN,7.93999580162367,NaN,NaN
65,NaN,61.7421457757471,3.93483844489963,NaN,NaN,NaN
70,0.458746714301811,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,4.27325855802428
90,NaN,NaN,NaN,NaN,3.8667239524267,NaN
100,NaN,NaN,NaN,30.442191521994,NaN,NaN
150,0.574008364200176,83.1095088877557,3.61486825140561,10.4781492326621,4.71801916314705,3.86921918679293
200,0.908829921541786,169.393522420814,1.57794024580538,NaN,5.59174220514583,NaN
250,NaN,NaN,NaN,4.01934523550682,4.11905895947017,5.53900849158893
300,0.481016737039599,51.7519135589673,1.75749579607188,12.8558560204255,3.53418975855698,4.56122274125636
350,NaN,111.231985908365,1.74163218309403,NaN,3.82200394590649,4.87321320141489
400,0.344431311753347,NaN,NaN,8.41737948682772,NaN,5.21683159760982
450,NaN,123.144281751103,1.47058351613865,7.23972893073337,5.51516664868097,NaN
500,0.353076049376183,NaN,NaN,NaN,NaN,3.31768698567039
550,NaN,97.2660738836132,1.03535420991197,4.89842209401271,3.03415118826035,NaN
600,NaN,NaN,NaN,NaN,NaN,3.34104762277077
650,0.595072727161278,NaN,NaN,NaN,3.90362334700304,NaN
700,NaN,99.2969598240171,1.86521030004484,3.80102913674223,NaN,5.68041693451111
800,0.200951374966378,104.409981297227,NaN,NaN,2.87716471348839,NaN
850,NaN,NaN,0.927403451592105,8.9926479008214,NaN,3.30579500419824
950,0.202215349836121,NaN,NaN,NaN,6.04428354588757,NaN
1000,0.248416033940561,186.141051280146,0.263569774095163,3.36458547927787,NaN,NaN
1500,0.163878711190239,122.917097868125,0.237419951130957,NaN,NaN,NaN
