t,geneA_Obs,geneF_Obs
0,1.1979827149407,0.917556185720627
45,NaN,3.0091545845375
65,2.87366159850426,NaN
95,NaN,4.90716060864549
150,3.20768285924896,11.8753813987622
200,4.55279948051825,4.28986790684584
250,NaN,6.22432970746857
300,6.88325608823914,7.02975935964624
350,5.35196780174672,7.72925314551407
400,NaN,4.53867570398243
450,6.18663716209208,NaN
500,NaN,8.16697805079763
550,4.23233788165323,6.29659895889926
650,NaN,3.58343022718399
700,2.56247861686215,NaN
750,NaN,9.29812227129385
850,4.67874408486352,NaN
900,NaN,5.39712551524756
1000,2.11062674365084,3.7751476508047
1500,1.41847649931874,4.20877170883975
