t,Rec_Obs,S2_Obs,ppS2_ppS2_ppS2_Obs,ppS2_S4_S4_Obs,geneH_Obs,Compound_1_Obs
0,0.392816147466043,126.242791773317,7.49834090657946e-18,1.06502186812619e-17,1.5905187175528,2.23518150893381
9.5,2.45677730114002,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,1.30316436550297e-17,NaN,1.0503162104402,1.10023541630808
15,NaN,110.246986870984,NaN,1.05039388379169e-17,NaN,NaN
20,0.602282465709186,NaN,8.31636067328176e-18,NaN,1.72177068359177,NaN
25,NaN,NaN,NaN,NaN,NaN,0.592245265378628
30,1.42151711722938,377.143339622404,9.6669739975381e-18,9.76363259381269e-18,NaN,NaN
35,NaN,NaN,NaN,NaN,1.03221667982145,0.761306684025812
40,0.985281364200645,NaN,NaN,NaN,NaN,NaN
45,NaN,136.840894846174,1.86408216193443e-17,NaN,1.5078804770394,NaN
50,NaN,NaN,NaN,8.15437071046137e-18,NaN,0.764601940693528
55,0.775112143145241,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,9.91745454615998e-18,NaN,1.30572472167558,NaN
65,NaN,82.2150015139889,NaN,NaN,NaN,NaN
70,0.929908487950878,NaN,NaN,4.54647545371641e-18,NaN,1.58593461908584
75,NaN,NaN,1.87378237912535e-17,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.759386697588782,NaN
85,NaN,162.650769678107,NaN,NaN,NaN,2.3477902345964
95,NaN,NaN,NaN,1.57271757899735e-17,NaN,NaN
100,NaN,78.7426292878263,NaN,NaN,NaN,NaN
