t,Rec_Obs,S2_Obs,ppS2_ppS2_ppS2_Obs,ppS2_S4_S4_Obs,geneH_Obs,Compound_1_Obs
0,0.901728611006968,219.331627150364,8.80713131571957e-18,1.77900175183387e-17,0.85917609730747,1.1082545740066
10,1.73727288237974,NaN,NaN,7.1734372665101e-18,1.488552313228,1.85344448906227
15,NaN,150.665869423838,8.11268748439319e-18,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,1.2860372698432,NaN
25,0.656300301597202,146.34629481718,7.69509874901503e-18,9.67599007963806e-18,NaN,1.45996441353656
35,0.83603397842738,NaN,NaN,NaN,0.735276743342717,0.638541666584266
40,NaN,119.900492099477,4.06955713777703e-18,1.26250377469954e-17,NaN,NaN
50,1.39060333995634,NaN,NaN,NaN,0.77506203214698,1.06178167687338
55,NaN,NaN,1.07683696840193e-17,1.06225378810077e-17,NaN,NaN
60,NaN,239.06484662306,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.734743241868573,0.98514475751199
70,1.10491596943209,NaN,NaN,NaN,NaN,NaN
75,NaN,135.638029886631,4.59643176024673e-18,1.02938256319261e-17,NaN,NaN
80,NaN,NaN,NaN,NaN,0.654237168638264,NaN
85,1.04719034502526,NaN,NaN,NaN,NaN,0.551360104557203
95,NaN,NaN,1.23418595310002e-17,1.15763146057768e-17,NaN,NaN
100,NaN,97.0692152499349,NaN,NaN,NaN,NaN
