t,Rec_Obs,S2_Obs,ppS2_ppS2_ppS2_Obs,ppS2_S4_S4_Obs,geneH_Obs,Compound_1_Obs
0,0.909280571081899,252.688751485072,4.82128701546963e-18,1.84695178147693e-17,1.4164665200567,1.96405759846993
10,1.11681397055831,NaN,6.02245559132994e-18,6.08997581507176e-18,NaN,NaN
15,NaN,789.271565253569,NaN,NaN,1.09422734973799,1.51895819917858
25,0.891534270452768,NaN,1.72685256265636e-17,1.54495393347002e-17,NaN,1.13906597030213
30,NaN,400.348756881579,NaN,NaN,2.46386843453788,NaN
35,1.56909609063962,NaN,1.29594933173466e-17,1.14836690565771e-17,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,1.48158325579697
45,NaN,436.276491722161,NaN,NaN,1.17159562999136,NaN
50,0.779832361493809,NaN,9.5652673349539e-18,5.9869486297686e-18,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,1.14793874180956
65,0.790506829988351,593.42493095872,NaN,1.07254001743866e-17,0.400464644613882,NaN
70,NaN,NaN,1.18635315970248e-17,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.819060121252903
85,1.26602843997797,NaN,NaN,9.80540513322169e-18,1.52383498989479,NaN
90,NaN,162.427713339024,1.15308932252223e-17,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,1.01573779918581,0.509458851203701
