t,Rec_Obs,S2_Obs,ppS2_S4_S4_Obs,geneG_Obs,geneH_Obs,Compound_1_Obs
0,1.43806690951749,174.764879310491,0.0212690912727381,2.00664644743533,0.629252370944706,0.91131330483359
45,NaN,80.0996980986102,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,7.38716181183003
55,NaN,NaN,2.56735110127786,NaN,11.2235011814283,NaN
60,NaN,NaN,NaN,15.4385459873896,NaN,NaN
70,0.435536673109019,NaN,NaN,NaN,NaN,NaN
95,NaN,46.5235443463377,NaN,NaN,NaN,NaN
100,NaN,NaN,3.18486916120196,8.04434682970732,13.458149351165,14.1232168326141
150,0.854205375248954,106.56064713184,2.13729165139339,NaN,10.8489825352839,5.39165672861049
200,0.525494381091967,102.79658168429,NaN,5.94077500703462,24.1370361183153,7.75559541243566
250,NaN,154.97288657664,4.40803556949338,5.6185978156338,NaN,11.6517164152102
300,0.508591921851342,178.281931408619,2.9848328123029,3.60970816926034,15.1856988836496,NaN
350,NaN,NaN,NaN,NaN,9.75737326405143,8.74941505649795
400,0.477889693360726,127.11356709234,6.21290607671372,6.46803701341334,NaN,7.55982808417656
450,NaN,311.866572768454,1.52927936440424,NaN,12.5770354273552,NaN
500,0.286105423657007,NaN,NaN,4.39300720324554,11.3883338972414,10.5760167531148
550,NaN,96.7764177923623,2.20085872044956,NaN,NaN,9.60361505720565
600,NaN,NaN,NaN,6.69727246738917,9.08469147152676,NaN
650,0.367330879578687,137.250110780542,NaN,NaN,NaN,NaN
700,NaN,NaN,0.989201844087192,NaN,NaN,10.3273448189361
750,NaN,NaN,NaN,4.12919173119019,5.83972397640759,NaN
800,0.227938449614101,123.116897412981,NaN,NaN,NaN,9.09609653276312
850,NaN,NaN,1.43359878495182,NaN,NaN,NaN
900,NaN,NaN,NaN,1.94777977449633,10.7519675524037,NaN
950,0.107362647584569,109.227039924867,NaN,NaN,NaN,14.1752485759115
1000,0.258985197113877,107.646904808408,0.671801419738575,3.31241379453094,5.35632765858913,7.50531866916988
1500,0.2223781699607,NaN,NaN,1.92077781519356,10.0720800240718,6.17652965280044
