t,Rec_Obs,S2_Obs,ppS2_S4_S4_Obs,geneG_Obs,geneH_Obs,Compound_1_Obs
0,1.07080081943876,210.13426084496,0.132086327248606,1.21140713419678,0.799827457769076,0.827600250651664
30,NaN,NaN,NaN,NaN,NaN,5.62236901711226
35,NaN,NaN,NaN,NaN,5.27162236373333,NaN
55,NaN,NaN,24.9478949192419,3.70528190609481,NaN,NaN
60,NaN,176.201192594039,NaN,NaN,NaN,NaN
65,0.826698355095966,NaN,NaN,NaN,3.24288166968485,5.04700561695437
100,NaN,139.390305536437,7.41276030705179,7.0008866180293,4.98478423162898,4.23366809511009
150,0.237866108068528,NaN,16.6678282614265,NaN,3.98300749098432,3.8711296869973
200,0.427433502373726,115.958872719976,NaN,6.34906419298645,5.69691269498399,4.57589882650771
250,NaN,100.384173137451,9.9455239365799,9.0199057493768,3.15768874723972,9.99546559112283
300,0.531910540196631,NaN,10.2570337594211,6.6331930583957,3.37859164294254,3.47606994075603
350,0.167929424219419,185.076912853434,13.1343389531944,NaN,NaN,NaN
400,NaN,249.884305943764,NaN,4.98534772682424,4.7648119964402,2.55666346675295
450,0.504265220892411,NaN,18.0719193634044,NaN,4.18839172965535,NaN
500,NaN,NaN,NaN,5.06139774999457,NaN,NaN
550,0.275162724580885,419.411451105256,9.69738785943869,NaN,NaN,NaN
600,NaN,NaN,NaN,14.2405771215735,NaN,NaN
650,NaN,407.376604742065,6.90344309000131,NaN,NaN,NaN
700,0.266678208953729,NaN,NaN,4.73922196249711,NaN,NaN
800,NaN,185.407995727395,7.44974677108329,NaN,NaN,NaN
850,0.243561163957287,NaN,NaN,3.48593412837048,NaN,NaN
950,NaN,NaN,11.9890268407067,NaN,NaN,NaN
1000,0.169798492911385,240.298087037069,4.74361379381917,6.12772392251144,NaN,NaN
1500,0.185041715374213,NaN,4.73520032816943,2.69001218460434,NaN,NaN
