t,Rec_Obs,S2_Obs,ppS2_ppS2_ppS2_Obs,ppS2_S4_S4_Obs,geneH_Obs,Compound_1_Obs
0,0.435726951539486,202.197620529294,9.5191553632799e-18,8.01095972259469e-18,1.00642257052626,1.20805724898058
9,NaN,87.9098455669215,NaN,NaN,NaN,NaN
9.5,2.83652367549135,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,1.84593354132763e-17,9.52386795684651e-18,2.18625937805064,1.30494656220119
20,1.21259707565759,113.23289415758,NaN,1.01369795121192e-17,NaN,NaN
25,NaN,NaN,1.41454662053361e-17,NaN,0.806710238801207,0.722043658069369
30,1.4799288187991,125.127868245772,NaN,1.02493537637997e-17,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,1.07833799230115
40,NaN,187.901451015472,6.96442477803831e-18,NaN,0.788517343048174,NaN
45,1.03883130881903,NaN,NaN,1.41997593675394e-17,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,0.946255891574662
55,1.63083078260609,157.912424010956,6.54052138617192e-18,NaN,0.735943439186824,NaN
60,NaN,NaN,NaN,8.04579406481663e-18,NaN,NaN
65,NaN,73.7675003000745,NaN,NaN,NaN,NaN
70,NaN,NaN,6.6327837917516e-18,NaN,0.53824144969729,1.44296439761738
75,0.97727285927336,NaN,NaN,1.41911299204872e-17,NaN,NaN
80,NaN,121.715197969227,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,1.00530592033742
90,NaN,NaN,5.50574434583827e-18,NaN,1.04258673306767,NaN
100,NaN,NaN,1.58186613899964e-17,NaN,NaN,NaN
