t,Rec_Obs,S2_Obs,S3_Obs,ppS2_S4_S4_Obs,geneH_Obs,Compound_1_Obs
0,2.04600230700185,96.8243791435787,24.3845282422102,0.0815885891909598,0.877331022138054,1.77646544905959
50,NaN,99.6257825219536,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,63.5608022287431,NaN,NaN
60,NaN,NaN,NaN,NaN,6.20016541232731,NaN
65,NaN,NaN,4.2018805288826,NaN,NaN,2.960360442255
75,0.990980478558335,NaN,NaN,NaN,NaN,NaN
100,NaN,56.4934583888264,NaN,20.8563190254899,3.49163303639832,NaN
150,0.916723418317082,77.2304190174859,5.20226056820217,43.6558107860289,NaN,6.64883501075956
200,NaN,78.7091068983453,9.13375558121973,NaN,5.73224092122669,3.17549910056317
250,0.330701687870506,64.1269095822207,NaN,35.2799970779779,3.09412872023254,NaN
300,0.907313209284761,NaN,8.75388175766554,38.9209325711723,NaN,3.48678102578942
350,NaN,92.9833881825974,4.39749520321417,NaN,5.38296814228858,7.0720232678948
400,0.589553563464386,55.8254753988338,NaN,36.5335943763037,2.87208501928798,NaN
450,NaN,NaN,23.1528418332769,29.2976798318653,NaN,4.14033110916713
500,0.81700268879313,151.999211337377,NaN,NaN,4.87807623943076,NaN
550,NaN,NaN,10.9903126213618,NaN,NaN,4.95390321537041
600,NaN,104.334687949473,NaN,18.769836204912,5.08010284134221,NaN
650,0.20409040382585,NaN,NaN,NaN,NaN,NaN
700,NaN,249.540940518913,16.4840673458864,18.2253749135114,NaN,5.38779726285826
750,NaN,NaN,NaN,NaN,3.35752068584073,NaN
800,0.387131462100601,NaN,12.7619802258406,NaN,NaN,NaN
850,NaN,154.551947023178,NaN,12.4765852879239,3.82624888861198,6.52953011753878
1000,0.141073406482972,140.297255888473,17.9943471065088,15.3139916670385,3.84166087069398,2.19467329806748
1500,0.168950064310389,NaN,11.2643559382244,NaN,6.12390765524835,2.88515170037921
