t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,6.5682522489301e-06,1.07911180599486,0,0
0.085,NaN,0.161534810224629,NaN,NaN
0.1,0.00304950317838671,NaN,NaN,NaN
0.15,NaN,0.0306258667378753,NaN,0.199516112424762
0.2,0.00254321215971718,NaN,NaN,NaN
0.25,NaN,0.00291488754479582,NaN,NaN
0.3,NaN,NaN,1.37920133528502e-07,0.45181952109031
0.35,0.00311120990045921,0.000531082431395121,NaN,NaN
0.45,0.00179806498389504,NaN,NaN,0.769061407177592
0.5,NaN,2.46471533279487e-05,NaN,NaN
0.6,0.00154796425264642,1.05043446580733e-05,5.42336118243137e-08,1.03408431661361
0.75,0.00108203029603636,3.64914552964602e-06,NaN,NaN
0.8,NaN,NaN,NaN,0.761467968864715
0.9,NaN,NaN,4.42013740568432e-08,NaN
0.95,0.000970933646208073,2.0344297412927e-06,NaN,NaN
1,0.00152045572001794,NaN,3.00392824747055e-08,0.643905434773435
1.5,0.00196262469171828,NaN,1.09551969228196e-08,0.784656367433527
2,NaN,NaN,3.58065014735541e-09,NaN
2.5,NaN,NaN,1.59635841571309e-09,NaN
3,NaN,NaN,3.56642348299546e-10,NaN
3.5,NaN,NaN,1.61816833549241e-10,NaN
4.5,NaN,NaN,3.32393463753117e-11,NaN
5,NaN,NaN,1.78200578126e-11,NaN
