t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,7.79588827457168e-06,1.46502122030145,0,0
0.08,NaN,0.104956326285097,NaN,NaN
0.15,0.0139215242743743,0.0386183762693385,NaN,NaN
0.2,NaN,NaN,NaN,0.147710454671749
0.25,0.017334510105733,0.00215240050823447,NaN,NaN
0.3,NaN,NaN,1.71096208927822e-07,NaN
0.35,NaN,0.000297893096714673,NaN,NaN
0.4,0.0133409706210042,NaN,NaN,0.303761284573394
0.45,NaN,5.33606010776802e-05,NaN,NaN
0.55,0.00920399176104352,NaN,5.17261975946185e-08,NaN
0.6,NaN,1.12830353673716e-05,NaN,NaN
0.65,NaN,NaN,NaN,0.356948471549482
0.7,0.00566422563220478,NaN,NaN,NaN
0.75,NaN,1.33657073897014e-05,NaN,NaN
0.85,NaN,NaN,4.28069086055481e-08,NaN
0.9,0.00857922009498818,NaN,NaN,0.61665934150465
0.95,NaN,7.85478867609535e-06,NaN,NaN
1,0.00714090854196137,NaN,3.10751655365114e-08,0.37377977401645
1.5,0.00900691131267789,NaN,1.64028690936581e-08,0.396909989305054
2,0.00918483176107689,NaN,3.04342409068647e-09,0.436880111436118
2.5,0.00558379073548293,NaN,2.29445103549578e-09,NaN
3,NaN,NaN,7.11062599465294e-10,NaN
3.5,NaN,NaN,1.81719392168856e-10,NaN
4,NaN,NaN,8.91265963216592e-11,NaN
5,NaN,NaN,2.37906194102951e-11,NaN
