t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,0.00010006631416039,1.02548279191677,0,0
0.075,NaN,0.172144354049845,NaN,NaN
0.15,NaN,0.0336280629344286,NaN,NaN
0.2,0.0289415338432794,NaN,7.22309522451436e-08,0.118605015965238
0.25,NaN,0.00274446993616461,NaN,NaN
0.35,NaN,0.000259822432064204,9.73328457644547e-08,NaN
0.4,0.0243676423401667,NaN,NaN,0.271913326799655
0.45,NaN,2.89092026492388e-05,NaN,NaN
0.55,NaN,1.55373427586962e-05,5.27708422247524e-08,NaN
0.6,NaN,NaN,NaN,0.151622033224873
0.65,0.0403237988971475,NaN,NaN,NaN
0.7,NaN,2.25448600276206e-05,NaN,NaN
0.8,NaN,NaN,4.88969497581843e-08,0.262413298174728
0.9,0.0360659252743601,1.53154354202001e-05,NaN,NaN
1,0.040967510560443,NaN,2.94480532708595e-08,0.353739957040734
1.5,0.0391611348971104,NaN,1.15293836457712e-08,0.20957947456755
2,0.0398877537764303,NaN,5.41100849938453e-09,0.309970729850485
2.5,0.0253579253587322,NaN,2.12654011017078e-09,0.267642808810708
3,NaN,NaN,5.04006630269949e-10,0.213326044497837
3.5,0.0260092347864561,NaN,NaN,NaN
