t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,6.8761190150725e-07,1.24148104441794,0,0
0.1,NaN,0.143791293608359,NaN,0.199628272325055
0.15,0.00028576557562436,NaN,NaN,NaN
0.2,NaN,0.00987332516781332,NaN,NaN
0.25,0.000327257082030103,NaN,NaN,0.610276015992327
0.3,NaN,NaN,1.10245602377628e-07,NaN
0.35,NaN,0.000343386987139513,NaN,0.782053579360373
0.4,0.000119104667092997,NaN,NaN,NaN
0.45,NaN,2.2314802075844e-05,NaN,NaN
0.5,NaN,NaN,NaN,0.842696447675643
0.6,0.000182707943659259,NaN,NaN,NaN
0.65,NaN,1.23383387922546e-06,6.14649897435351e-08,0.662043218506127
0.75,0.000137100963173272,NaN,NaN,NaN
0.8,NaN,1.42336793890755e-06,NaN,NaN
0.85,NaN,NaN,NaN,0.662621720469248
0.95,0.000222492770232453,NaN,NaN,NaN
1,0.00014986476946465,1.02074180885528e-06,3.65734739769959e-08,0.602316995124356
1.5,8.92356257178458e-05,NaN,8.74171913391919e-09,NaN
2,8.69129138194225e-05,NaN,3.00251565225848e-09,NaN
2.5,0.000118682404628501,NaN,1.09305999641084e-09,NaN
3,NaN,NaN,9.78129479009343e-10,NaN
3.5,NaN,NaN,2.48972007213696e-10,NaN
4,NaN,NaN,9.44039914847419e-11,NaN
5,NaN,NaN,8.89681510772994e-12,NaN
