t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,0.000124204939463347,1.57239430561576,0,0
0.1,NaN,0.0528355397998748,NaN,NaN
0.15,0.113222948746731,NaN,NaN,NaN
0.2,NaN,0.00238766446319645,NaN,NaN
0.25,NaN,NaN,NaN,0.0274591449713406
0.3,0.160448775858765,0.000146272391106398,9.5799610082055e-08,NaN
0.45,NaN,1.58211690332267e-05,NaN,0.0250840377840987
0.5,0.0904527911947351,NaN,NaN,NaN
0.55,NaN,6.16571205661919e-06,NaN,NaN
0.6,NaN,NaN,3.3409219342764e-08,NaN
0.65,0.115564626279725,NaN,NaN,NaN
0.7,NaN,8.17450245335952e-06,NaN,NaN
0.75,NaN,NaN,NaN,0.0327057117453755
0.85,0.0647564842948255,NaN,NaN,NaN
0.9,NaN,6.44470290773879e-06,2.77625806912182e-08,NaN
1,0.0824999862500643,6.10263736169159e-06,3.81824985541687e-08,0.0304292810446712
1.5,0.0708286165114507,NaN,7.98007996478374e-09,0.0448026585703208
2,0.0650640641658113,NaN,3.12636463313146e-09,0.0444923923528579
2.5,0.0874737177939985,NaN,1.0568346008564e-09,NaN
3,NaN,NaN,4.77713853470398e-10,NaN
3.5,NaN,NaN,1.57181166348046e-10,NaN
4.5,NaN,NaN,3.97432392694539e-11,NaN
