t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,8.61424353870272e-05,0.925772031997139,0,0
0.1,NaN,0.317915334006609,NaN,NaN
0.2,0.0543066805758589,0.104607415697627,NaN,0.0858392809838571
0.3,NaN,NaN,2.56736406335031e-07,NaN
0.35,NaN,0.013974939021211,NaN,NaN
0.4,0.0274918168160133,NaN,NaN,0.225002778245755
0.5,NaN,0.00302905499076556,NaN,NaN
0.6,0.0309392404046091,NaN,NaN,NaN
0.65,NaN,0.000279898329181515,1.15201322475867e-07,0.206567200243257
0.85,0.0338667400955619,0.000114292598000456,NaN,NaN
0.9,NaN,NaN,NaN,0.24917919454779
1,0.0414777945616378,3.60304199835372e-05,7.51403636196572e-08,0.186977431320436
1.5,0.0271060475186513,NaN,2.26361385154689e-08,0.307839128449331
2,0.0448244564158048,NaN,6.35053616905913e-09,0.362767871087834
2.5,NaN,NaN,3.74119541690945e-09,NaN
3,NaN,NaN,1.60512408848543e-09,NaN
3.5,NaN,NaN,2.47446122639252e-10,NaN
4.5,NaN,NaN,1.60582126839665e-10,NaN
5.5,NaN,NaN,8.55716766730553e-11,NaN
