t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,9.59354647847108e-05,0.942790047555479,0,0
0.085,NaN,0.0934204575394948,NaN,NaN
0.15,NaN,0.0294365489753318,NaN,NaN
0.2,0.104109100941354,NaN,NaN,0.0416279916203263
0.25,NaN,0.00141190543480352,NaN,NaN
0.3,NaN,NaN,7.0243075894389e-08,NaN
0.35,NaN,0.000130188172220349,NaN,NaN
0.4,0.0591996511249584,NaN,NaN,NaN
0.45,NaN,NaN,NaN,0.0807022169393406
0.5,NaN,9.54385860419974e-06,NaN,NaN
0.6,NaN,1.14490043016051e-05,5.2990938497395e-08,NaN
0.65,0.0651633496805484,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.107713165484923
0.75,NaN,7.36137329033917e-06,NaN,NaN
0.9,0.0536584976564288,NaN,NaN,NaN
0.95,NaN,6.53568898780527e-06,2.37467649746635e-08,NaN
1,0.0451172331676191,NaN,NaN,0.119740558916664
1.5,0.0726451551373984,NaN,8.08350724433125e-09,0.069572688694884
2,0.0415667035657037,NaN,3.55284846653349e-09,0.120537941897049
2.5,0.0773834915976304,NaN,1.19717749939126e-09,NaN
3,0.0528914917293699,NaN,5.33506047461867e-10,NaN
4,NaN,NaN,6.23639555255918e-11,NaN
5,NaN,NaN,2.13149049321785e-11,NaN
