t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,0.000106786178402434,0.700172595462892,0,0
0.08,NaN,0.629514546747046,NaN,NaN
0.15,NaN,0.442228316378974,NaN,NaN
0.2,0.0345225237527063,NaN,NaN,0.0715368520119715
0.25,NaN,0.132544569368114,NaN,NaN
0.35,NaN,0.10027085011475,3.50496042813041e-07,NaN
0.4,NaN,NaN,NaN,0.209936198276561
0.45,0.038277566803247,0.0309157686320636,NaN,NaN
0.6,NaN,0.0124472050204192,NaN,0.130670264255579
0.65,0.0224364445640232,NaN,NaN,NaN
0.75,NaN,0.00281922162841594,1.21569948883561e-07,NaN
0.85,NaN,NaN,NaN,0.23562299572331
0.9,NaN,0.00119393400509979,NaN,NaN
0.95,0.0289784299985906,NaN,NaN,NaN
1,0.0334410035591692,NaN,7.79901660953197e-08,0.429175802715959
1.5,0.0225397424500071,NaN,4.15559884593362e-08,0.339314364568827
2,0.0325276137991397,NaN,2.00987263212956e-08,0.247298996325322
2.5,NaN,NaN,NaN,0.212717888041769
3,NaN,NaN,3.10766962793244e-09,0.158828722194303
3.5,NaN,NaN,NaN,0.228586346269446
