t,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs
0,-5.56465219802827e-06,-1.96052365699616e-05,0.000795137826686032
15,3.13869152955175e-05,NaN,NaN
20,NaN,NaN,0.000293569981405852
25,2.94734615677644e-05,0.000334579724652171,NaN
40,2.2338633071693e-05,NaN,NaN
45,NaN,NaN,0.000198797187575743
50,NaN,0.000280651320479056,NaN
55,3.61060206962037e-05,NaN,NaN
65,NaN,NaN,0.000495233177283892
70,2.09973570433554e-05,NaN,NaN
80,NaN,0.000290553827183131,NaN
90,1.6940938432078e-05,NaN,0.000587378977577531
100,2.51426320684592e-05,0.000305269729958089,0.000444087272170449
150,3.45023982086239e-05,0.000153982792820145,0.000478094326425653
200,6.07047629471013e-06,7.63412671888422e-05,0.000736723681333683
250,1.44352644341997e-05,3.03664786600018e-05,0.000929822056602393
300,NaN,NaN,0.000854032070314578
350,NaN,0.000102075523201376,0.000645633903922757
400,NaN,6.39914331246079e-05,NaN
