t,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_Dab1SFK_Obs
0,8.4247871143128e-05,-0.000106285495197911,0.000811400804494544,0.00615823069706772,4.97402161914029e-05
9.5,NaN,NaN,NaN,NaN,-7.70799291290373e-07
20,NaN,NaN,NaN,NaN,2.05979934318323e-06
25,0.000962387100656876,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,0.140694696566518,2.70562163998546e-06
35,NaN,NaN,-7.67436775496928e-05,NaN,NaN
40,NaN,0.000556596722830405,NaN,NaN,2.94752094756272e-07
45,0.000873339813093341,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,-9.50340048312239e-07
60,NaN,NaN,NaN,0.133275475279605,NaN
65,NaN,NaN,NaN,NaN,-4.67625443338624e-07
70,0.000594514424317912,NaN,0.000118394948621466,NaN,NaN
75,NaN,0.000836202269883595,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,1.57422307775238e-06
95,NaN,NaN,NaN,0.0849721694179951,NaN
100,0.000515327925310714,0.000748776498593403,0.000212589138472258,NaN,-1.33740836059343e-06
150,0.000266987789812926,0.000758136137135076,7.73701518588665e-05,0.0254435168416581,2.10383077162683e-06
200,0.000139377048990721,0.000280020214169907,0.000258611681719477,0.0327733876637866,NaN
250,-4.03542656237625e-05,NaN,0.000301456745052607,0.0206225932175765,NaN
300,-0.000138683842726614,0.000303856887845046,0.000379478386052774,NaN,NaN
350,4.96814879443991e-05,0.000270746403805244,NaN,-0.0168948013583806,NaN
400,NaN,NaN,0.000838437424690337,0.0254774953184823,NaN
450,NaN,7.76902623632112e-05,0.000487594078086283,NaN,NaN
500,NaN,NaN,NaN,0.00509642444553425,NaN
600,NaN,0.000310093979912143,0.000667285365099361,NaN,NaN
