t,ApoER2_Dab1SFKInh_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_re_Dab1SFKInh_Obs
0,0.000851286511240144,-8.82528941168818e-11,3.83371803986784e-05
15,NaN,7.37083451403945e-10,NaN
20,NaN,NaN,0.000484074263309852
25,0.000425495345681203,NaN,NaN
30,NaN,7.61274524989638e-10,NaN
45,NaN,NaN,0.000513219680170117
50,0.000191260246571892,6.79913518125775e-10,NaN
70,NaN,2.70432146251407e-10,0.000756939889492832
80,0.000255196068403025,NaN,NaN
95,NaN,7.62130960216135e-10,NaN
100,6.01879675806609e-05,8.3444674093533e-10,0.000815104966555092
150,-7.41188158256118e-05,9.03269744554967e-10,0.000603865633359227
200,4.63190042738701e-06,NaN,NaN
