t,Reelin_input,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs
10,0,2.27997962372104e-05,-0.000212275834449037,0.000749254521200369
10,0.00012207,-0.00010480939035,4.46079810876172e-05,0.000560586667110171
10,0.00024414,6.68149559029866e-05,-6.29234155817867e-06,0.000932789622663081
10,0.00048828,-3.49729450144553e-05,6.80854818490917e-05,0.000878685937467923
10,0.00097656,6.00836036904729e-05,0.000189753712510412,0.000778643891204279
10,0.0019531,-4.35928459657522e-05,0.000126054251859068,0.000574600003015851
10,0.0039062,-1.63983779348447e-05,0.000375330174150751,0.000455159899302092
10,0.0078125,-3.41442656484295e-05,0.000487364214130283,0.00036620629537757
10,0.015625,-4.73529335691039e-05,0.000462710219018557,0.00021322097486818
10,0.03125,-7.09908845842745e-06,0.000763013695705038,6.95525455792846e-05
10,0.125,0.000229069991821837,0.000904611076292687,-5.67977313947901e-05
10,0.25,0.00057735774981038,0.000808254451918673,0.000103752667551048
10,0.5,0.000776929566558267,0.00067279604045894,-7.65605856498917e-05
10,1,0.00116046980204776,0.000762295143595415,3.04357428681042e-05
