t,ApoER2_Dab1SFKInh_Obs,SFK_Obs,ApoER2_Dab1SFK_Obs
0,0.0011133723416171,1.4586244211705e-08,9.98391441213494e-10
3.5,NaN,NaN,6.8572940478508e-10
7.5,NaN,NaN,8.85734488773263e-10
10,0.00110672148791191,NaN,8.48410894906483e-10
15,NaN,NaN,7.20967596009537e-10
20,0.000947065521430298,1.2607938185907e-08,8.13183452734283e-10
30,0.00115763252475169,NaN,4.41243552138245e-10
35,NaN,NaN,7.36790802558181e-10
45,0.00111261725496795,1.61104283668382e-08,NaN
60,0.000538810927595306,NaN,NaN
65,NaN,1.32177915173918e-08,NaN
75,0.00092125339355678,NaN,NaN
90,0.000997743221695953,1.36150020642202e-08,NaN
100,0.000193881752312578,1.52073929202555e-08,NaN
150,NaN,1.22244993315282e-08,NaN
200,NaN,9.8295250490894e-09,NaN
250,NaN,1.29121524861866e-08,NaN
300,NaN,3.08748847842552e-09,NaN
350,NaN,1.17968510898419e-08,NaN
400,NaN,7.25620180039614e-09,NaN
450,NaN,9.37625839985453e-09,NaN
550,NaN,1.05444144565786e-08,NaN
