t,pAC_Fsk_Obs,RIIp_2_Obs
0,0.308591274087694,0.217811221807687
1.5,-0.378225036210621,NaN
3,0.123054761557912,NaN
4.5,0.181295477681988,NaN
6,-0.134127241375454,NaN
8,0.018430729975916,NaN
9.5,-0.431458242825641,NaN
10,0.509704257948893,NaN
15,0.62176629643441,0.0857363313642699
20,0.0994308277916873,NaN
25,0.0327711554086545,NaN
30,-0.0135044035341494,NaN
35,-0.260358438828417,0.384024022839334
45,0.408815986868617,NaN
50,0.276071321442331,0.228095610725837
60,-0.318345941262364,NaN
70,0.928956806885687,0.459321279121931
90,NaN,0.126964093442094
100,NaN,0.412580774877014
150,NaN,0.547759925832293
200,NaN,0.556788612066383
250,NaN,0.549385723611018
300,NaN,0.307179530872352
350,NaN,0.404661473696361
450,NaN,0.527905011323141
