t,pAC_Fsk_Obs,Csub_Obs
0,0.331410364366814,0.158177240708871
3.5,-0.200873041063914,NaN
7.5,-0.0323451002287208,NaN
8.5,NaN,0.250837488205467
10,0.363123298480331,NaN
15,-0.41113199896489,0.142983497900036
20,0.437295613474841,NaN
25,0.464393076241986,0.299634293991982
30,-0.681953771059597,NaN
35,0.3120255198893,-0.023604650802458
40,-0.0190846323177411,NaN
45,0.0679471417734617,0.256821684503033
50,-0.0889938542933932,NaN
55,-0.317777922546934,NaN
60,NaN,0.196859104021048
65,-0.396547135107172,NaN
70,-0.461019513524521,0.314061137435172
80,-0.0540774435838661,NaN
90,0.458222274426652,0.721267714179103
100,0.178744447420146,0.405480324407345
150,-0.367352079615118,0.424186667608199
200,0.21335260070476,NaN
250,0.653515905139314,NaN
300,-0.497982747746909,NaN
