t,RIIp_2_Obs,Csub_Obs
0,0.193456479422752,0.203620658378279
15,0.302525070036386,NaN
20,NaN,0.241403220275021
35,0.224825678141454,NaN
40,NaN,-0.0532139205035619
55,0.171939351990068,NaN
60,NaN,-0.180928445259798
75,0.232326772965323,NaN
80,NaN,0.359789092456985
95,0.329593574386252,NaN
100,0.493364536286003,0.614982103844107
150,0.562979535342529,0.69881843309226
200,0.592354605947393,0.226576433563537
250,0.412186461251559,0.705918149997656
300,0.562989508929642,0.789424277324276
350,0.24975551646999,0.557645367549885
450,0.40503460354118,0.417176791748148
