t,pAC_Fsk_Obs,Csub_Obs
0,0.33577139299418,0.257430038219256
5.5,-0.490313093006644,NaN
10,-0.0614667763654217,NaN
15,0.229934234482261,0.342453700076748
20,0.618225468865559,NaN
30,-0.929821941582884,NaN
35,-0.424040384420531,0.227130279009525
40,-0.0790445315575031,NaN
45,0.104255762435852,NaN
55,-0.241012368660371,0.372108567288347
60,-0.0348808585532961,NaN
70,-0.139027371162317,NaN
75,NaN,0.29841416240128
80,-0.331265299204929,NaN
90,0.067656306184331,NaN
95,NaN,0.458181365404385
100,-0.691670802368187,0.395105744597931
150,-0.4396553563816,0.34415471646622
200,0.68557331980638,0.398390890523705
250,-0.00111705789304845,0.321942994036023
300,-0.220149322827995,0.159511012885848
350,0.216636493540657,NaN
