t,pAC_Fsk_Obs,Csub_Obs
0,0.547139071608697,0.189214369015954
1.5,-0.712780075267112,NaN
3.5,-0.114075433988154,NaN
4,NaN,0.305986011221604
5,-0.691353058801826,NaN
7,0.313674728242868,NaN
8,NaN,0.501685957012339
9,0.73034615227543,NaN
10,-0.222975523375949,0.287222912476847
15,-0.0128064136111771,0.260425551220375
20,0.206239431570761,NaN
25,0.0318527156673197,0.577666142115657
30,0.114584825210273,0.384503101664918
35,0.141704811016739,0.550083740249437
45,0.190098275066531,NaN
55,-0.203723293449182,NaN
