t,pAC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,-0.139331167931628,0.33448512205568,0.400419274209671
3.5,0.244722936994095,NaN,NaN
7,0.186020148131236,NaN,NaN
10,0.24060770210763,NaN,NaN
15,0.235829009588964,0.192841547319421,0.268763338678814
20,-0.247753191712495,NaN,NaN
25,-0.0267190542683993,NaN,NaN
30,NaN,0.212137246167505,NaN
35,-0.114357150684675,NaN,0.19404768913327
50,NaN,0.199285721068464,NaN
55,NaN,NaN,0.135361383266405
70,NaN,0.217813409760768,NaN
80,NaN,NaN,0.27202529856655
90,NaN,0.150389462168594,NaN
100,NaN,0.129476519395737,0.447606209505327
150,NaN,0.319341345706016,0.155469019300739
