t,Compound_1_Obs,Compound_2_Obs
0,1590342.69760515,1282776.43084847
3.5,29566478.2607287,59049736.8521641
7,209063020.48165,91860291.2802386
10,98116689.9172024,138770538.492276
15,67358255.9918424,108570338.343596
20,38114748.1872315,102493174.398664
25,288272006.963828,117988120.843032
30,175730160.404342,125758362.041348
35,262638503.361328,124364184.562469
40,168766829.755477,112912010.734958
50,1675367088.74578,69888039.7130287
60,147415607.601732,221708971.732029
70,749700515.402973,151718613.476077
