t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,5288631.7770751,1112963.25670999,79220471.1657766
3,3694265.1968474,NaN,NaN
3.5,NaN,NaN,528489867.040558
4,NaN,3790594.37292718,NaN
6,4096255.83693634,NaN,NaN
7,NaN,NaN,204049836.785117
7.5,NaN,1740980.3497383,NaN
9,1442713.57610252,NaN,NaN
10,NaN,6426527.27659276,177954691.843506
15,2592182.16100633,3666866.41280547,171012159.923421
20,6007761.41890451,1922038.62091845,119769758.686301
25,8950136.30037088,NaN,118152458.752327
30,3311441.94263903,1203419.27192022,590909833.613234
35,NaN,2724311.80173927,171995112.332658
40,5436543.28729195,NaN,NaN
45,4504122.06342143,2642799.81025331,229820754.274223
55,32473068.1979642,1365884.32131929,412444665.827368
65,3075848.36681375,NaN,430390949.997823
