t,pApA_Obs,pBpB_Obs,nucpApA_Obs
0,0,1.02086204672524e-09,0
15,2.76717178459119e-06,8.6910263115656e-07,139.336202973391
30,1.04389287436571e-06,3.13260507734865e-07,NaN
35,NaN,NaN,154.504852636455
45,NaN,1.67510866852198e-07,NaN
50,6.37904286858193e-07,NaN,155.988306440906
65,NaN,8.84247978694447e-08,NaN
70,4.76525325662833e-07,NaN,153.72590686205
85,NaN,6.42087694531257e-08,NaN
90,3.56302802518626e-07,NaN,138.543978895073
100,3.00675259903693e-07,4.77847681515293e-08,146.745101158906
150,1.73603013592192e-07,2.06693615228288e-08,109.262061119855
200,NaN,NaN,96.8566813210592
250,NaN,NaN,78.2711149020894
300,NaN,NaN,80.476207072948
350,NaN,NaN,61.825601188679
450,NaN,NaN,43.2997975046115
