t,STAT5A_Obs,STAT5B_Obs,pApB_Obs,pApA_Obs,pBpB_Obs,nucpApA_Obs
0,127.47222220464,65.4543625740223,0.072175992896093,1.35176481664226e-08,1.27079723021708e-09,0.10884826134583
10,NaN,NaN,NaN,NaN,1.82991867916466e-06,NaN
15,20.0455170228895,9.9635629084639,25.3687034205236,3.18875461982577e-06,NaN,96.0337622733548
25,NaN,11.7578020231872,NaN,1.81822845644055e-06,5.32983004076153e-07,NaN
30,18.7794314134128,NaN,31.4952904789383,NaN,NaN,126.485606841621
35,NaN,NaN,NaN,NaN,3.32668610115569e-07,NaN
40,NaN,11.8231642063889,NaN,1.81021078009527e-06,NaN,NaN
45,25.836336037332,NaN,25.3125152605939,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,148.458685953581
55,NaN,13.4436221188819,NaN,1.8084065387101e-06,1.54380393918675e-07,NaN
60,22.3768221996153,NaN,22.4638211497026,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,92.0083282718778
70,NaN,NaN,NaN,NaN,1.40252491732152e-07,NaN
75,NaN,13.6812317373419,NaN,7.76424567992206e-07,NaN,NaN
80,39.4246238247776,NaN,19.5172326726781,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,92.0106586147785
95,NaN,13.3079562035784,NaN,4.73766240651608e-07,1.00470655364432e-07,NaN
100,41.5662237367246,13.7155852613963,15.8394398068022,6.19246824265325e-07,NaN,126.402670451882
150,72.2753857537956,19.4035006506333,12.0075829114231,2.01657932999499e-07,NaN,90.2701871102071
200,91.050265034105,20.821686523764,9.4053633001001,NaN,NaN,45.8690661390467
250,108.399335832372,33.0901968900838,3.57641560903065,NaN,NaN,37.2151035990709
300,88.3005843330981,28.5708257448083,2.70325616989141,NaN,NaN,13.0659060344066
350,NaN,NaN,NaN,NaN,NaN,10.4853939159198
