t,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-2.08342454738369e-07,0.0141457636913485,-1.61226979639501e-05,314.800947090906,1.5299033711871e-06,2.05926445376772e-08,-4881.80842034557
55,NaN,NaN,NaN,317.371892090153,NaN,NaN,NaN
100,NaN,NaN,NaN,293.405114376782,NaN,NaN,NaN
150,3.02136174068758e-05,NaN,NaN,NaN,NaN,NaN,255987.686929866
200,NaN,NaN,NaN,364.074527168946,NaN,NaN,NaN
250,NaN,NaN,NaN,384.074378870276,NaN,NaN,NaN
300,NaN,NaN,NaN,328.631042825039,NaN,NaN,NaN
350,2.10285110869739e-05,NaN,NaN,NaN,NaN,NaN,163053.46359817
400,NaN,NaN,NaN,347.325951463539,NaN,NaN,NaN
450,NaN,NaN,0.000839047993354383,NaN,NaN,1.716903807049e-07,NaN
500,1.45079727492166e-05,0.011894744038993,NaN,354.739667695179,NaN,NaN,111318.295196782
550,NaN,NaN,NaN,NaN,0.000361340800910945,NaN,NaN
600,NaN,NaN,NaN,308.740327513289,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,66195.0923398042
750,8.65242773067941e-06,NaN,NaN,415.992375296899,NaN,NaN,NaN
900,NaN,NaN,0.000331355075326414,320.932852504384,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,6.36035108511788e-07,47808.36367473
1000,5.56854245801489e-06,0.0121756650257265,NaN,NaN,0.000427766360913891,NaN,30739.7692182567
1500,2.07695151016368e-06,0.016296784257803,0.000107706642712606,NaN,0.000378183355738735,9.26226131237159e-07,5123.77649531446
2000,NaN,0.0125972352398946,4.24332126041274e-05,NaN,NaN,9.95314441260664e-07,NaN
2500,NaN,0.016022164432767,7.22342671601681e-06,NaN,0.000245934761334831,8.16687820171935e-07,NaN
3000,NaN,NaN,NaN,NaN,0.000170949740491883,7.30575282802919e-07,NaN
3500,NaN,0.0162501716240658,5.92263058452384e-06,NaN,NaN,NaN,NaN
4000,NaN,0.0107754008020895,2.92885027055328e-05,NaN,0.000107865989084465,5.03641130962053e-07,NaN
5000,NaN,0.0145724835039569,1.22306285130738e-05,NaN,3.78576143402172e-05,3.0825445963903e-07,NaN
6000,NaN,0.0128888248032174,NaN,NaN,5.316277760884e-05,2.37126851749634e-07,NaN
6500,NaN,NaN,1.48107459269498e-05,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,2.53686877775251e-05,1.5908765378463e-07,NaN
7500,NaN,0.0142816368835891,NaN,NaN,NaN,NaN,NaN
8500,NaN,0.0141091940651059,NaN,NaN,2.13930525061852e-05,5.55510568131097e-08,NaN
