t,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-2.33770103698985e-06,0.0131090911197371,-1.29835620593337e-05,321.270903483055,2.18952089125334e-06,-1.11032286144826e-08,6420.04209366136
60,NaN,NaN,NaN,330.524705758888,NaN,NaN,NaN
100,7.28940539792891e-05,NaN,NaN,296.444338118488,NaN,NaN,790370.233574345
200,6.71084265869308e-05,NaN,NaN,341.515674163798,NaN,NaN,533871.450381492
250,NaN,NaN,NaN,304.884417133029,NaN,NaN,NaN
350,4.03382111778728e-05,NaN,0.00217543767814725,316.896071426888,NaN,NaN,353305.814614512
400,NaN,NaN,NaN,330.197534916395,NaN,NaN,NaN
450,2.62785555698352e-05,NaN,NaN,NaN,NaN,4.42191852389849e-07,158638.041317889
500,NaN,0.0116092209448305,NaN,NaN,0.000744728293740369,NaN,NaN
550,NaN,NaN,NaN,394.371886343866,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,100386.91461221
650,1.54566989593872e-05,NaN,NaN,359.582586521725,NaN,NaN,NaN
750,NaN,NaN,0.000705231009851383,NaN,NaN,NaN,NaN
800,1.19844196184701e-05,NaN,NaN,320.011499497896,NaN,NaN,92822.0525864534
900,NaN,NaN,NaN,NaN,NaN,1.36520913316688e-06,NaN
1000,1.67320386028786e-06,0.0108967734539641,0.000332418913635333,NaN,0.000829368231518101,NaN,8927.3123669118
1500,NaN,0.0129940434142812,9.58234076654916e-05,NaN,0.000684562491789482,1.88805196484078e-06,NaN
2000,NaN,0.0122573374991467,2.37638346948736e-05,NaN,0.000593450612522003,1.82312408987618e-06,NaN
2500,NaN,0.0125213897062932,1.37407106418343e-05,NaN,NaN,1.45382919819196e-06,NaN
3000,NaN,NaN,NaN,NaN,0.000312275661019196,1.31436297979385e-06,NaN
3500,NaN,0.0132704988731204,-2.65488461600365e-05,NaN,0.000240311456678916,NaN,NaN
4000,NaN,NaN,4.35614606429284e-05,NaN,NaN,6.67698078496585e-07,NaN
4500,NaN,0.0124408340013866,NaN,NaN,0.000141895304318796,NaN,NaN
5000,NaN,NaN,4.56850564650946e-05,NaN,NaN,4.05464614875213e-07,NaN
5500,NaN,0.0145497736972959,NaN,NaN,8.93780215778834e-05,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,3.68760692823333e-07,NaN
6500,NaN,0.014132297980036,NaN,NaN,7.78670832172681e-05,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,1.73076959867479e-07,NaN
8000,NaN,0.014657714483947,NaN,NaN,5.23046081542166e-05,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,1.53313781314347e-07,NaN
