t,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,6.03124302161803e-07,0.014179426503027,-4.42387677705338e-05,380.450402182189,4.07646455175363e-05,1.10066454844209e-07,141753.169751076
35,NaN,NaN,NaN,NaN,NaN,NaN,8040898.07730941
70,NaN,NaN,NaN,NaN,NaN,NaN,3681365.69707582
100,NaN,NaN,NaN,310.25464300681,NaN,NaN,1570153.79436819
150,NaN,NaN,NaN,NaN,NaN,NaN,451564.585765619
200,5.23725163451038e-05,NaN,NaN,395.458625698681,NaN,NaN,-50740.7647425984
250,NaN,NaN,0.00329493589231941,NaN,NaN,NaN,-38598.4165091253
300,NaN,NaN,NaN,NaN,NaN,NaN,68047.5565467224
350,4.38050013642735e-06,0.0106972551282995,NaN,365.334309212166,NaN,8.45145474841635e-07,-58536.1537542328
450,NaN,NaN,NaN,320.564726495836,NaN,NaN,131200.121520779
500,NaN,NaN,NaN,NaN,NaN,NaN,122435.906778992
550,NaN,NaN,9.0227058652456e-05,NaN,0.00120276834461687,NaN,NaN
600,3.36916429342248e-07,NaN,NaN,289.917136139545,NaN,NaN,-51685.2988156242
700,NaN,0.011077942163142,NaN,NaN,NaN,2.05467144530393e-06,NaN
800,5.74526164900118e-07,NaN,NaN,329.695365396216,NaN,NaN,NaN
850,NaN,NaN,4.84065882136951e-05,NaN,NaN,NaN,NaN
1000,-2.10759277047275e-07,0.011709352657504,4.02755043858807e-05,336.180656774604,0.000950379932830835,2.32098932607797e-06,NaN
1500,8.84400112902254e-07,0.0113451133000678,7.44679418425701e-05,382.412668050517,0.000725560333941512,2.46544624179348e-06,NaN
2000,NaN,0.0143012647849695,2.42730044065501e-05,308.709263251744,NaN,1.97583228939794e-06,NaN
2500,NaN,0.0140212730362526,-1.66896302829882e-05,NaN,0.000367970382359288,1.68998162244982e-06,NaN
3000,NaN,0.0117932461243022,NaN,NaN,0.000312114832283478,1.5020202096617e-06,NaN
3500,NaN,NaN,NaN,NaN,NaN,1.04587855718545e-06,NaN
4000,NaN,0.0140046453130179,NaN,NaN,0.000203625313918327,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,7.64826371595345e-07,NaN
5000,NaN,0.0139552646732441,NaN,NaN,0.000159325079886175,4.83242820878468e-07,NaN
6000,NaN,NaN,NaN,NaN,0.000138240633945068,3.58622227396507e-07,NaN
7000,NaN,NaN,NaN,NaN,4.62474120101591e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,2.936193929029e-07,NaN
8500,NaN,NaN,NaN,NaN,5.48449533122976e-05,NaN,NaN
