t,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-2.21629481854249e-06,0.0129193235725012,-1.52898690767856e-05,350.440607015376,5.6065026096848e-06,-9.38305710149966e-08,363.560479241654
30,NaN,NaN,NaN,NaN,NaN,NaN,8727953.67036939
55,NaN,NaN,NaN,NaN,NaN,NaN,4000706.85936237
85,NaN,NaN,NaN,NaN,NaN,NaN,1412538.36521358
100,0.000159788270361511,NaN,NaN,NaN,NaN,NaN,1274454.34894986
150,NaN,NaN,NaN,337.059737303981,NaN,NaN,119641.337080663
200,3.96741939966008e-05,NaN,NaN,NaN,NaN,NaN,297977.259256424
250,NaN,NaN,0.00291282166010229,NaN,NaN,NaN,36843.606048992
300,NaN,NaN,NaN,386.865690979225,NaN,6.08827999924572e-07,-83523.6633745532
350,7.6656945941849e-07,NaN,NaN,NaN,NaN,NaN,33545.8036171746
400,NaN,NaN,NaN,NaN,NaN,NaN,113559.459080234
450,-1.56064149988075e-06,0.0115607875413952,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,281.181086535823,NaN,NaN,102949.890329889
550,NaN,NaN,0.000143014748168497,NaN,0.00119284456185075,NaN,NaN
600,-1.65386835212187e-06,NaN,NaN,NaN,NaN,1.64140981974187e-06,NaN
700,NaN,NaN,NaN,310.818855879585,NaN,NaN,NaN
750,2.4164302423062e-06,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,2.43868082227517e-05,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,311.133089921821,NaN,2.21906379410391e-06,NaN
950,8.25116660729216e-07,0.0124321047372431,NaN,NaN,NaN,NaN,NaN
1000,NaN,NaN,9.6359813990284e-05,446.866765769913,0.000941136922976056,2.42742815799645e-06,NaN
1500,NaN,0.013967738315909,9.02272198671237e-05,324.244720489085,0.000705710691032355,2.47308670229485e-06,NaN
2000,NaN,0.0137571317416255,3.66836586581291e-05,288.150884443403,NaN,2.05250273395553e-06,NaN
2500,NaN,0.0152413961780424,3.41223791306865e-05,NaN,0.000478816154936779,1.8670027143508e-06,NaN
3000,NaN,NaN,0.000115381821779274,312.510390619262,0.00031936689000631,1.38338846611681e-06,NaN
3500,NaN,0.0137403217193741,NaN,NaN,NaN,1.03568817225258e-06,NaN
4000,NaN,0.01471159344955,NaN,NaN,0.000165301700900893,NaN,NaN
4500,NaN,NaN,NaN,NaN,0.000116139312631722,7.48576992360405e-07,NaN
5000,NaN,0.013882916630342,NaN,NaN,NaN,5.05314158519467e-07,NaN
6000,NaN,NaN,NaN,NaN,0.000102831727434588,3.42720141159238e-07,NaN
6500,NaN,0.0147266303141825,NaN,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,7.02881417502804e-05,NaN,NaN
7500,NaN,0.0121345509168385,NaN,NaN,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,9.35596090486324e-05,NaN,NaN
