t,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-8.64044415614822e-07,0.0147389406763803,-1.55295906429421e-05,363.255200499571,2.88031380528865e-05,1.00955274929601e-07,-111940.70460789
60,NaN,NaN,NaN,NaN,NaN,NaN,2234567.06528485
100,NaN,NaN,NaN,326.345197981922,NaN,NaN,1963901.83082908
200,NaN,NaN,NaN,317.695265297065,NaN,NaN,1004291.35204502
250,8.06237758199983e-05,NaN,NaN,NaN,NaN,NaN,639778.026126739
300,NaN,NaN,0.00369868515911378,NaN,NaN,NaN,NaN
350,NaN,0.00908281388735532,NaN,351.058999164214,NaN,NaN,248233.690215866
400,NaN,NaN,NaN,NaN,NaN,NaN,279633.845733665
450,2.56071618525912e-05,NaN,NaN,368.654658985777,NaN,7.81024410116689e-07,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,111248.380139986
550,NaN,NaN,NaN,NaN,0.0012928073112591,NaN,NaN
600,NaN,NaN,0.000713516294239781,NaN,NaN,NaN,-28175.1235784873
650,NaN,NaN,NaN,314.316829245322,NaN,NaN,NaN
750,3.1917720277296e-06,0.0125905049532295,NaN,NaN,NaN,NaN,99640.4575937659
800,NaN,NaN,NaN,330.952823564138,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,NaN,2.25374476470759e-06,28625.3320101527
950,NaN,NaN,2.81228508427672e-05,NaN,NaN,NaN,NaN
1000,8.48489515163553e-07,0.0133788322760743,NaN,365.313888279517,0.00108067730140226,NaN,-4227.81506162677
1500,-4.3538727871498e-08,0.0119651489008378,0.000174522129203119,314.043159443594,0.000767488106909656,2.46794145964834e-06,NaN
2000,8.38882231331563e-08,0.0124144050661449,9.07122704075868e-05,NaN,NaN,2.31776586291339e-06,NaN
2500,NaN,0.0143471134763557,-2.51615958675255e-06,NaN,0.000435223560581981,2.0718808818544e-06,NaN
3000,NaN,NaN,7.87691861964792e-05,NaN,0.000371588833274682,1.60005132331028e-06,NaN
3500,NaN,0.0156787303052282,NaN,NaN,NaN,NaN,NaN
4000,NaN,0.0142694254830125,NaN,NaN,0.000233734961300226,9.70409150506571e-07,NaN
4500,NaN,NaN,NaN,NaN,0.000159444548899865,NaN,NaN
5000,NaN,0.0150540578492462,NaN,NaN,NaN,7.08244783058414e-07,NaN
6000,NaN,0.0146788699532418,NaN,NaN,0.000159351473632685,4.944444659106e-07,NaN
7000,NaN,NaN,NaN,NaN,8.37623983482065e-05,3.32195126440935e-07,NaN
8500,NaN,NaN,NaN,NaN,7.55539338825377e-05,-2.57620774462401e-08,NaN
