t,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-5.35240802239239e-06,0.0148024694415905,-1.83000477332633e-06,327.883764673694,-4.08713673109154e-05,-2.35525782437945e-07,-37493.9132497162
40,NaN,NaN,NaN,NaN,NaN,NaN,4644732.43074466
85,NaN,NaN,NaN,NaN,NaN,NaN,3406247.89350582
150,0.000140048563588148,NaN,NaN,271.873619014747,NaN,NaN,1132311.0804738
200,NaN,NaN,NaN,NaN,NaN,NaN,423449.955090067
250,NaN,NaN,0.004307574711081,341.577994555003,NaN,NaN,148963.760722154
300,NaN,NaN,NaN,NaN,NaN,NaN,123520.115530489
350,9.8988797101595e-06,0.00978567107896817,NaN,NaN,NaN,8.57138553443792e-07,82159.3677594174
400,NaN,NaN,NaN,356.40182965242,NaN,NaN,-73525.297044977
500,NaN,NaN,0.000522539151956741,NaN,0.00129601591770677,NaN,33769.1990979077
550,-2.5223108450057e-06,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,301.404963642681,NaN,NaN,82085.7211596283
650,NaN,0.0122464571003437,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,1.79229679173748e-06,-1171.13530103264
750,NaN,NaN,NaN,384.737333848438,NaN,NaN,NaN
800,1.49052296825264e-06,NaN,-4.25069210090673e-06,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,0.0010453847610021,NaN,NaN
1000,-4.41211078601565e-07,0.0119139948745807,-2.25276957762762e-05,303.602351963733,NaN,2.24549500927958e-06,NaN
1500,NaN,0.0124683772163587,0.000215711659434541,266.881026288211,0.000790731797712766,2.42642887664557e-06,NaN
2000,NaN,0.0139311909586951,2.73776845145319e-05,449.006406624901,0.000521967816100168,2.47532948982698e-06,NaN
2500,NaN,0.0142805066791176,6.08301938435387e-05,331.529579273946,0.000466061842275999,1.90515934176847e-06,NaN
3000,NaN,0.0137008156881509,4.56322406630739e-06,NaN,NaN,1.41294376082534e-06,NaN
3500,NaN,0.0158693055090557,NaN,NaN,0.000250352770418951,1.23624108044449e-06,NaN
4000,NaN,0.0141283805395911,NaN,NaN,0.000140561908780977,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,9.89471362727094e-07,NaN
5000,NaN,0.0132203303228497,NaN,NaN,0.000131283801912797,NaN,NaN
5500,NaN,NaN,NaN,NaN,NaN,5.42475767263462e-07,NaN
6000,NaN,NaN,NaN,NaN,8.48366732591316e-05,NaN,NaN
6500,NaN,NaN,NaN,NaN,NaN,2.55736033087648e-07,NaN
7500,NaN,NaN,NaN,NaN,0.00012801628743653,NaN,NaN
8500,NaN,NaN,NaN,NaN,-1.41254909308047e-06,NaN,NaN
