t,EpoRJAK2_Obs,STAT5_Obs,CISHnRNA3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,1.42089445643289,51.6097691065492,0.000184687178300501,1.89818219218732,3.02728297521952,57.1301419240368,0.0342616398521608
10,1.39642051568163,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,27.0865696814435,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,43.4852277156142,NaN
25,1.53826038563476,NaN,NaN,15.6875258076767,4.48869383048958,NaN,NaN
35,1.75187472413549,31.6979715316369,0.0374053560886574,NaN,NaN,41.1986491116552,0.260232835554046
50,1.97254814110028,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,34.9633958192972,NaN,12.4799847444039,11.3680025095856,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,47.3496723336469,NaN
65,1.49660015208262,NaN,NaN,NaN,NaN,NaN,0.257535595670006
75,NaN,44.4892154096682,0.0237733326690636,NaN,NaN,NaN,NaN
80,1.42704957750291,NaN,NaN,7.37227905150293,NaN,55.8158816128906,NaN
85,NaN,NaN,NaN,NaN,12.2183991269868,NaN,NaN
100,1.44359062131112,43.7098511778725,0.0135426644472819,4.88207463613255,11.5490979331215,72.9891928990895,0.151613653303907
150,1.39771199996823,61.5632111073923,0.0061984735769923,3.56054555318468,5.92706046318535,51.0947757111843,0.106649261439069
200,1.57601015957042,NaN,0.00725597327353828,3.85005528009967,5.66716362173161,55.4434930889368,0.129568002553619
250,NaN,NaN,NaN,3.60256404497741,4.21209285931551,NaN,0.133490817698498
300,NaN,NaN,0.00756428131368815,3.43710472147025,6.5182984144707,NaN,0.104853755312463
350,NaN,NaN,NaN,3.42660139394464,NaN,NaN,0.100385772583416
400,NaN,NaN,NaN,3.77606046813727,5.06566025692862,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,0.104455873723297
500,NaN,NaN,NaN,3.30314580324729,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,0.125177575635833
