t,CISHnRNA3_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-0.000361572991019187,3.39066659718001,54.1143235269942,0.0387228964264521
9,0.000747658223034753,NaN,NaN,NaN
9.5,NaN,NaN,52.2108137083747,NaN
10,NaN,3.24178775553073,NaN,NaN
15,NaN,NaN,NaN,0.100324506501956
20,0.0073928152802201,3.45034064349491,55.512296475141,NaN
25,NaN,NaN,NaN,0.110789419057498
30,0.011839779479352,3.56738064341316,56.4073117205381,NaN
40,0.0155029718479473,NaN,54.4841242816492,0.135363689646044
45,NaN,5.59443151624564,NaN,NaN
55,0.012794974542837,5.82479283797805,60.6045170893149,0.126618341613377
65,NaN,NaN,60.0407949000998,NaN
70,0.0101766228852062,6.69283037839563,NaN,0.104105772333804
80,NaN,NaN,58.7857215847266,NaN
85,0.00838987473090262,6.60204139141124,NaN,NaN
90,NaN,NaN,NaN,0.0967505056862066
100,0.00537142316008894,5.93156884343071,58.7627508576939,0.0896255476513925
150,0.00329114861785004,4.38274237311297,64.9535560013145,0.0720044767331555
200,NaN,3.57768279702837,56.4320977961786,0.0652835671058277
