t,epo_level,CISHnRNA3_Obs,Compound_2_Obs
5,2.5e-09,3.68368461451528e-05,3.10502993358273
5,2.5e-09,5.87631839276547e-05,3.42580432668183
5,2.5e-09,8.20590711093609e-05,3.06915416994996
5,2.5e-08,5.50202460024401e-05,3.31503937783589
5,2.5e-08,5.96773566177408e-05,3.36622066540223
5,2.5e-08,0.000113835221647724,2.82993706700042
5,2.5e-07,0.000173351037336063,3.20001209594904
5,2.5e-07,0.00018591073906757,2.99230510925372
5,2.5e-07,0.00019421370104431,3.37171545315482
5,2.5e-06,0.00071331286350168,3.8330126161974
5,2.5e-06,0.000716357838012336,3.32746441574874
5,2.5e-06,0.000783843220004315,3.763039183607
5,2.5e-05,0.00097659638112309,3.83509031645275
5,2.5e-05,0.000992644304942014,3.95110374988109
5,2.5e-05,0.000999819199753726,3.78081060806922
