t,CISHnRNA3_Obs,Compound_1_Obs
0,7.63599412087116e-05,3.33951930369932
3,7.13309182288461e-05,NaN
4.5,NaN,3.36694149920971
6,5.34414585610855e-05,NaN
9,NaN,3.29236939274751
9.5,2.82148850981261e-05,NaN
15,1.20189164280156e-06,3.38676485375349
20,-9.4050300407439e-06,3.3551517349315
25,-1.43140411189018e-05,3.01088948568575
30,-1.67332941876244e-05,3.10252104448132
35,-1.52709867972003e-05,NaN
40,-1.67159348829546e-05,3.25467545710749
45,NaN,3.24665722095497
50,-1.5794666238452e-05,NaN
55,NaN,3.44702700561712
60,-1.65141170372387e-05,NaN
65,NaN,3.21735412213786
80,NaN,3.12373756669567
