t,CISHnRNA3_Obs,Compound_2_Obs,Compound_4_Obs
0,7.53053430489071e-05,132.014778049522,0.0397753671913296
8,NaN,143.980586045507,NaN
9,NaN,NaN,0.0787897196168295
15,7.94322038047449e-05,137.436016542027,NaN
20,NaN,NaN,0.0611455603316085
25,NaN,137.249543516096,NaN
30,NaN,NaN,0.0472051728061891
35,0.000241331364167726,144.938160479614,NaN
40,NaN,NaN,0.0503260538650942
45,NaN,130.358027389798,NaN
55,0.00030510422284358,NaN,0.0403895986681456
60,NaN,137.462736768813,NaN
70,NaN,142.72703370501,NaN
75,0.000290864993100783,NaN,0.0426436034146268
90,NaN,127.405136114822,NaN
95,NaN,NaN,0.0421997315386015
100,0.000274081114390678,142.61292747221,NaN
150,0.000230052734662548,NaN,NaN
200,0.00019036573514408,NaN,NaN
250,0.000200823530565729,NaN,NaN
