t,CISHnRNA3_Obs,Compound_2_Obs
0,8.53353279719721e-05,0.937333406788736
9.5,NaN,0.886973679385533
15,0.000216352592460597,NaN
20,NaN,1.01639241262218
30,NaN,0.986580076356253
35,0.00031400595221375,NaN
40,NaN,1.00672168511955
55,0.000228980634542059,1.05131576058119
65,NaN,0.966962804610235
75,0.000193215351548456,NaN
85,NaN,0.98507131904923
100,0.000190062147718748,0.952316844626637
150,0.000170975829154381,0.981408104119379
200,0.000176545714303758,1.04619957347719
250,0.000172525331995694,NaN
