t,STAT5_Obs,CISHnRNA3_Obs,Compound_2_Obs
0,2.28772965608194,9.05251496821172e-05,0.846784194259922
15,0.347674478154416,NaN,5.743024755329
20,NaN,0.00334600370893594,NaN
30,0.964261868884234,NaN,3.55051659574442
45,1.10202241512905,0.00147527581313823,3.02702789573737
65,1.0763128931401,0.00144232216563149,2.374484372427
85,1.22157003991553,NaN,1.94297214148785
90,NaN,0.00119329149883339,NaN
100,1.44736747142259,0.00113376265628948,2.0561513243749
150,1.61539017389523,0.00131892826899917,2.14418234839522
200,1.71649508823329,0.000949406199274436,1.75356842979484
250,1.60118089589871,0.00105088847486952,NaN
300,NaN,0.00129310447447637,NaN
