t,epo_level,CISHnRNA3_Obs,Compound_2_Obs
35,2.5e-09,-0.00210837147914947,3.27688585256351
35,2.5e-09,-3.03229871933225e-05,2.65675595809106
35,2.5e-09,0.00400357858896696,3.54607378497272
35,2.5e-08,0.00625369939324041,3.72060936999984
35,2.5e-08,0.0153914229999864,3.33016183000348
35,2.5e-08,0.0155003494191845,4.05748941429123
35,1.25e-07,0.0379986290517403,5.85288179554346
35,1.25e-07,0.0385850965890631,4.9825600763653
35,1.25e-07,0.0390731727481885,4.91934851413752
35,2.5e-07,0.0483096063169939,5.93095569828669
35,2.5e-07,0.0494274888555008,5.95815021342279
35,2.5e-07,0.0508414244769142,6.2230900302193
35,1.25e-06,0.0679407167280803,7.82789521360726
35,1.25e-06,0.0679570183177851,8.31642507750258
35,1.25e-06,0.0705577264091359,7.77136911581935
35,2.5e-06,0.0687981747173038,8.34020603129669
35,2.5e-06,0.0691832245431417,8.38441871260671
35,2.5e-06,0.0719239331754484,8.65468629928515
