t,epo_level,Compound_4_Obs
12,2.5e-09,0.0829788535001273
12,7.905e-09,0.148206358403673
12,1.25e-08,0.13788557055635
12,1.75e-08,0.155998587802372
12,1.75e-08,0.173908636910019
12,1.75e-08,0.200739300222693
12,2.5e-08,0.191078756859772
12,3.95e-08,0.202265402867505
12,7.9e-08,0.178010220682455
12,7.9e-08,0.182993299690695
12,7.9e-08,0.203717782642964
12,1.25e-07,0.27646619870466
12,1.7675e-07,0.240493037040976
12,2.5e-07,0.272943172793359
12,2.5e-07,0.273320452629316
12,2.5e-07,0.280906575119715
12,7.905e-07,0.359995085074586
12,2.5e-06,0.466146775761899
