t,CISHnRNA3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.000681624855907218,3.27569316587809,0.0396726953407421
10,NaN,NaN,0.264688226901996
15,0.00744185164213002,4.16549323556376,NaN
20,NaN,NaN,0.200895748156821
25,NaN,3.54510727575013,NaN
30,0.0343392571189719,NaN,0.254495342091476
40,NaN,5.82604099105582,NaN
45,0.0404438857601103,NaN,0.288552310345467
55,NaN,10.6961019186174,NaN
60,NaN,NaN,0.25879753000442
65,0.0293580791607086,NaN,NaN
70,NaN,13.3959469341826,NaN
75,NaN,NaN,0.190808447075045
85,0.0180465404744291,NaN,NaN
90,NaN,12.1482390375071,0.164396894101705
100,0.0122336066924121,10.8771408693251,0.148179941227973
150,0.00593608884733299,6.34701146613087,0.118033484090419
200,0.00941462713007568,6.07924059928035,0.132015260626492
250,NaN,4.90347420172915,NaN
300,NaN,5.18982213121557,NaN
