t,CISHnRNA3_Obs,Compound_2_Obs
0,7.92648753658691e-05,0.894215579199384
10,NaN,1.08016435812138
15,0.000216675854670385,NaN
20,NaN,0.956586697093114
35,0.000256905684621546,0.777086710445628
45,NaN,0.997946128544887
55,0.000199879096398559,NaN
60,NaN,0.982838812189204
75,0.000191592967555924,0.711844637385767
95,0.000153227687974452,0.776635730174684
100,0.000183966318188113,0.961155768993547
150,0.000185074145221842,1.04559308176197
200,0.000197063759956604,0.936924992589048
250,0.000197469739663253,NaN
