t,STAT5_Obs,npSTAT5_Obs
0,41.3435021813167,-0.68360090056152
7,NaN,10.0982521133986
9,2.75501005808577,NaN
15,NaN,16.7110692549881
20,6.11955981057828,17.6748291767256
25,1.52539983023,NaN
30,NaN,15.7478790892284
35,11.9081404119465,NaN
40,NaN,12.7267435444268
50,19.1410570416812,9.60795729992283
60,24.2690874710299,4.80000690231441
75,26.0006094400974,3.14003399145239
90,31.6241379573869,1.50617759946445
100,31.3596809469563,2.14726325585869
150,26.3997901314348,5.10588081376382
200,28.4916583904955,NaN
