t,STAT5_Obs,npSTAT5_Obs,SOCS3nRNA3_Obs
0,3.01358943636865,0.00119826661011128,0.0004963164199733
9.5,NaN,NaN,0.000590693781865165
10,2.5695584658805,NaN,NaN
15,NaN,0.0539845923654987,NaN
20,2.83090919073914,NaN,0.00054150668671093
30,NaN,0.0433230339240333,0.000508727841374694
35,3.27597106947972,NaN,NaN
40,NaN,NaN,0.000507869069279858
45,3.23559324262074,0.0320751293419877,NaN
55,NaN,NaN,0.0004995819465614
60,3.30155275348018,0.0243291391541373,NaN
75,4.00489548921141,NaN,0.000465549127189608
80,NaN,0.0244841025803226,NaN
95,3.37579091406624,NaN,0.000548187006683611
100,3.2157527497766,0.0210429212897099,NaN
150,3.05200174977417,0.0228959362708319,NaN
200,3.4007398271331,0.0194790903313414,NaN
