t,PTPAct_Obs,STAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,CISHRNA_Obs,SOCS3nRNA3_Obs
0,-2.31055756500504e-05,37.4300092546001,-0.393356525096001,0.0275579730144874,-0.0159097476938196,0.00171405213780872,-0.00242809936107144
20,NaN,6.77115148633478,13.7305213575442,0.0502662203679813,-0.00880187255778049,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,0.00924890457107093,0.0562035642760677
40,NaN,NaN,NaN,0.190530629943172,0.0841639006375961,NaN,NaN
45,NaN,17.5017958840154,9.61555481504706,NaN,NaN,0.0742041957047755,NaN
50,0.00128675092498364,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,0.10468382496254
65,NaN,NaN,NaN,0.172788896034172,0.212370006511596,NaN,NaN
70,NaN,24.821720993396,3.79723286335242,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.135440189370889,NaN
90,NaN,NaN,NaN,NaN,0.122664397228789,NaN,0.0410659430022904
95,NaN,39.3125573766683,2.54085830456531,0.0729106992174368,NaN,NaN,NaN
100,0.000852209435913197,NaN,2.05959089811739,0.0653643427177164,0.10899999106276,0.134659800901595,NaN
150,0.00053235857846077,38.6730241056803,0.87615005874766,0.0525832134072631,-0.00369221002682251,0.0460362019474672,0.0303285169165247
200,NaN,21.4056982316417,1.84269393712449,0.0356987319971265,0.0770794497273897,0.0413984110668509,0.0353595389019526
250,0.00131032994340792,32.5785135223082,3.16230656282767,0.0798296975109358,0.0845392789249549,NaN,NaN
300,0.00175706750568685,25.9476293774542,3.09729092124477,NaN,NaN,0.0245572184211051,0.0460790007989821
400,0.0012144947407134,NaN,NaN,NaN,NaN,NaN,NaN
500,0.00106039823657205,NaN,NaN,NaN,NaN,NaN,NaN
600,0.00144880364668046,NaN,NaN,NaN,NaN,NaN,NaN
750,0.00169274070798272,NaN,NaN,NaN,NaN,NaN,NaN
