t,STAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,SOCS3nRNA3_Obs
0,39.9119448147656,0.240840220702182,-0.00245645983487785,0.0119833859875021
7.5,26.9920454924097,NaN,NaN,NaN
10,NaN,6.26033697933979,0.00921370305591987,0.0145615364510928
15,12.6940146327952,NaN,NaN,NaN
20,NaN,12.9220612850004,NaN,0.0371119795019013
25,11.5826708656283,NaN,0.0881479325066319,NaN
30,12.1031143701275,NaN,NaN,0.0833735973623153
35,NaN,11.7658070501418,0.158203184409653,NaN
40,14.3313378147016,NaN,NaN,NaN
45,NaN,9.04073506541272,NaN,0.108385942223833
50,25.5491728840343,NaN,0.215879419821117,NaN
60,NaN,5.79808263685284,NaN,0.0968187145567328
65,28.6223819199393,NaN,0.193398200606918,NaN
75,NaN,2.28523947034785,NaN,0.063102208805
80,29.9620673657096,NaN,NaN,NaN
85,NaN,NaN,0.111712914666529,NaN
95,33.9631304187245,1.51754243068881,NaN,0.0461207087008125
100,34.9638448128274,1.67639913477638,0.0693132024167457,0.0372978678073067
150,38.1965320528331,2.94407852910096,0.0334682698632114,0.0376353078106407
