t,STAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,SOCS3nRNA3_Obs
0,36.1025347641428,-0.00132842468143382,0.000287493657957005,0.0147553060377609
8,38.9796779041878,NaN,NaN,NaN
15,39.7748402076478,0.0323959686785972,5.52474728750112e-05,0.0145005612841402
25,37.4624892869085,0.106530130511209,0.000313979824789371,NaN
30,NaN,NaN,NaN,0.0155461030212303
35,40.6130036172195,NaN,NaN,NaN
40,NaN,0.13283501013866,0.00152593287985726,NaN
45,42.3301578688954,NaN,NaN,0.0151418387004108
55,41.7505790009894,0.111108717920183,0.00224325103660158,NaN
60,NaN,NaN,NaN,0.0162138323216203
65,40.1296515377389,NaN,NaN,NaN
75,NaN,0.0794962414905182,0.00223003756257659,NaN
80,39.8321247460662,NaN,NaN,0.0148390541737829
95,35.7992184333451,0.0604968957548418,0.00191905756418408,NaN
100,44.8617457004491,0.0572184222269419,0.00172857788183311,0.0156249794081653
150,42.7657167290132,0.0502067027660204,0.00129116720701271,0.0147592360857067
200,NaN,0.0455092982766115,0.00103691936706749,0.0146630508940807
