t,epo_level,CISHRNA_Obs
40,6.6667e-07,5.58613012492972e-05
40,6.6667e-07,6.02883541673523e-05
40,1.3333e-06,5.60600743774131e-05
40,1.3333e-06,6.95777508114808e-05
40,2.6667e-06,7.13325067481206e-05
40,2.6667e-06,7.41828992115211e-05
40,5.3333e-06,7.46090217114992e-05
40,5.3333e-06,7.53734306291785e-05
40,1.0667e-05,8.32920008104515e-05
40,1.0667e-05,8.43373906103715e-05
40,2.1333e-05,7.36336603202421e-05
40,2.1333e-05,7.41254941683737e-05
40,4.2667e-05,7.49848691040219e-05
40,4.2667e-05,9.54262052242262e-05
