t,epo_level,SOCS3nRNA3_Obs
18,2.5e-09,0.0109317841048114
18,2.5e-09,0.0138088635756905
18,2.5e-09,0.0149368671433594
18,7.905e-09,0.0117933846135593
18,7.905e-09,0.0142658916101172
18,7.905e-09,0.0163179323121236
18,1.25e-08,0.0155371877770859
18,1.75e-08,0.014741284034593
18,1.75e-08,0.0165718346904914
18,1.75e-08,0.018389012570045
18,2.5e-08,0.0158751732790941
18,2.5e-08,0.0160608663189846
18,2.5e-08,0.020530378290592
18,3.95e-08,0.0183932415238957
18,7.9e-08,0.0233499919849172
18,7.9e-08,0.0256218949309494
18,7.9e-08,0.0271374512235159
18,1.25e-07,0.0329146847664828
18,1.7675e-07,0.0417062682284797
18,2.5e-07,0.0444285021739678
18,7.905e-07,0.055496603271004
18,7.905e-07,0.0563318014151213
18,7.905e-07,0.0600755629964285
18,2.5e-06,0.05916561954852
18,2.5e-06,0.062784254327247
18,2.5e-06,0.0634008810026298
