t,STAT5_Obs,npSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA3_Obs
0,49.3588531465048,0.662478619049449,0.00173924311485805,0.0403957332103795
5.5,NaN,3.19169681747978,NaN,NaN
7,NaN,NaN,NaN,0.0127557826072328
9.5,14.9633902515383,NaN,NaN,NaN
10,NaN,5.5782589277442,0.0193320764127155,NaN
15,NaN,12.7106873756861,NaN,0.0353253877229048
20,6.55189694624211,NaN,-0.00404448662377294,0.0295288968908062
25,NaN,13.3507363210191,NaN,NaN
30,18.2431048920101,10.6794744839843,NaN,0.0771178326210877
35,NaN,NaN,0.0223117216706127,NaN
40,29.0333803332555,10.4903553817987,NaN,0.112100823647236
45,NaN,7.73601282908536,0.074828436604697,NaN
50,25.9069669717202,NaN,NaN,0.115974339213541
60,NaN,3.82549154510274,0.121064679741371,0.0976156641757401
65,27.5318711614956,NaN,NaN,NaN
70,NaN,5.11689645582739,NaN,NaN
75,NaN,NaN,0.136171132526532,0.0812004894972034
80,28.722920654617,NaN,NaN,NaN
85,NaN,2.46809355981172,NaN,NaN
95,NaN,NaN,0.136452131380324,0.0701990672996674
100,46.0848700100978,0.412509878161559,0.0941866402923899,0.0448877410744806
150,31.3762572853959,NaN,0.0202574848519438,NaN
200,34.8196542485986,NaN,NaN,NaN
