t,STAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3nRNA3_Obs
0,46.8144117269767,-0.241085535625627,0.00686428440447036,-0.00438181488712031,0.0106890961781724
6.5,NaN,1.48468878811403,NaN,NaN,NaN
9,NaN,NaN,-0.00160736963562516,NaN,NaN
10,26.4143731476263,NaN,NaN,-0.00350534146254771,NaN
15,NaN,4.99254875315798,NaN,NaN,0.0226930789482638
20,27.48965368338,5.89288344233867,0.0286921750704349,NaN,NaN
25,NaN,NaN,NaN,0.00201428908972042,0.0374115100800249
30,19.4884546937841,6.02846773943437,0.0621076746013606,NaN,NaN
35,NaN,5.95311095302443,NaN,0.0142967934752572,NaN
40,27.1648228439926,NaN,0.0939135353429717,NaN,0.0542111582972171
45,NaN,4.52830539124351,NaN,NaN,NaN
50,NaN,NaN,0.101243971833241,0.0466472435783877,NaN
55,34.7484839509311,3.02942312845595,NaN,NaN,0.050617616848618
65,NaN,NaN,0.0924994295916125,0.0696936334124815,NaN
70,35.1470351115158,1.54464192819827,NaN,NaN,0.0450978543138319
80,NaN,NaN,NaN,0.0731439378989094,NaN
85,38.5048600652748,1.316332976396,0.0538328304043631,NaN,NaN
90,NaN,NaN,NaN,NaN,0.0264255464100967
100,36.8658882152646,1.17249723234795,0.0317424062347015,0.0574382818772706,0.0239934212423878
150,34.1073045563785,NaN,0.0101634138328586,0.0183107078764281,0.0159436770123341
200,37.0432901035859,NaN,NaN,0.0179871715803101,0.0239774413996454
