t,PTPAct_Obs,CISHnRNA3_Obs
0,5.37594929579873e-05,-0.000756640765563138
20,NaN,0.00564875110049733
25,0.000779389038427856,NaN
40,NaN,0.00636742469341789
45,0.00075408385141651,NaN
60,NaN,0.00636644244175589
70,0.000723007823099624,NaN
85,NaN,0.00590883165030883
95,0.00132461583613592,NaN
100,NaN,0.00403903560554739
150,0.00162494921836605,0.00387998159056391
200,0.00110513135677035,0.00473797812621316
250,0.00126641041353958,NaN
300,0.00138086459637715,NaN
350,0.00152450326686197,NaN
400,0.00110157113540841,NaN
