t,STAT5_Obs,npSTAT5_Obs,SOCS3nRNA3_Obs
0,1.54178605675621,0.0042103087407216,0.000537477209063235
10,2.8066005983984,0.0347071736429167,0.000419283991503786
20,2.97333626238274,NaN,0.000598340736938141
25,NaN,0.0457359508144074,NaN
35,3.53824129081119,NaN,0.000465041970304325
40,NaN,0.0296031218214122,NaN
45,4.25842457916335,NaN,0.000470637592004929
55,NaN,0.0278713547663236,NaN
60,3.20489436369629,NaN,0.000830781318855221
70,NaN,0.0284276218249293,NaN
75,3.61320992347426,NaN,0.000549306494840899
90,3.52639417028711,0.0196679501892982,NaN
95,NaN,NaN,0.000594816673017192
100,4.39332582489587,0.0212682928761273,0.000305075281221764
150,3.59037632947835,0.0268371817608576,NaN
200,2.76550998656817,0.0131271665154239,NaN
