t,epo_level,STAT5_Obs,npSTAT5_Obs
49,2.5e-09,22.6315443087319,9.13575184013123
49,2.5e-09,12.8154391866249,7.97103789966367
49,2.5e-09,17.7778481199986,9.32318874439253
49,2.5e-08,24.5885450692845,6.73402704945778
49,2.5e-08,25.1414502882857,10.0708965657458
49,2.5e-08,20.7856049750679,9.04594209535279
49,1.25e-07,12.7271914842336,11.0319586304122
49,1.25e-07,11.0739718259501,8.68955670603657
49,1.25e-07,12.4575308498925,12.1099128789684
49,2.5e-07,25.5309373953392,8.03342590399976
49,2.5e-07,28.4963226154631,6.78305983125846
49,2.5e-07,18.2883012815147,8.61243445611702
49,1.25e-06,29.7194714154892,5.36145718029586
49,1.25e-06,33.7624060255722,3.20019716599018
49,1.25e-06,21.4726158104271,4.46914618024663
49,2.5e-06,38.5114442560114,2.54341790378617
49,2.5e-06,53.5363581438283,-1.13950192355011
49,2.5e-06,35.2358149741788,0.131733004993384
